begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
,,,,2,Rack_Floor_Leakage_Setting_On,,,,,,,,
,,,,1,RPU_Internal_Leakage_Setting_On,,,,,,,,
,,,,0,RPU_External_Leakage_Setting_On,,,,,,,,
40960,1,,,,,INTEGER,,,,,,,RPU_BB_Tmp75_Temp_C
40961,1,,,,,INTEGER,,,,,,,PRU_BPB_Outlet_Temp_C
40962,1,,,,,INTEGER,,,,,,,RPU_Pdb_Hdc1080DMBr_Temp_C
40963,1,,,,,INTEGER,,,,,,,RPU_Pump1_Hdc1080DMBr_Temp_C
40964,1,,,,,INTEGER,,,,,,,RPU_Pump2_Hdc1080DMBr_Temp_C
40965,1,,,,,INTEGER,,,,,,,RPU_Pump3_Hdc1080DMBr_Temp_C
40966,1,,,,,INTEGER,,,,,,,RPU_BB_HSC_P48V_Temp_C
40967,1,,,,,INTEGER,,,,,,,RPU_BPB_HSC_P48V_Temp_C
40968,1,,,,,INTEGER,,,,,,,RPU_Pump1_HSC_P48V_Temp_C
40969,1,,,,,INTEGER,,,,,,,RPU_Pump2_HSC_P48V_Temp_C
40970,1,,,,,INTEGER,,,,,,,RPU_Pump3_HSC_P48V_Temp_C
40971,1,,,,,FLOAT,,,0,,0.01,,RPU_BB_HSC_P48V_Vin_Volt_V
40972,1,,,,,FLOAT,,,0,,0.01,,RPU_BPB_HSC_P48V_Vin_Volt_V
40973,1,,,,,FLOAT,,,0,,0.01,,RPU_Pump1_HSC_P48V_Vin_Volt_V
40974,1,,,,,FLOAT,,,0,,0.01,,RPU_Pump2_HSC_P48V_Vin_Volt_V
40975,1,,,,,FLOAT,,,0,,0.01,,RPU_Pump3_HSC_P48V_Vin_Volt_V
40976,1,,,,,FLOAT,,,0,,0.1,,RPU_BB_HSC_P48V_Iout_Curr_A
40977,1,,,,,FLOAT,,,0,,0.1,,RPU_BPB_HSC_P48V_Iout_Curr_A
40978,1,,,,,FLOAT,,,0,,0.1,,RPU_Pump1_HSC_P48V_Iout_Curr_A
40979,1,,,,,FLOAT,,,0,,0.1,,RPU_Pump2_HSC_P48V_Iout_Curr_A
40980,1,,,,,FLOAT,,,0,,0.1,,RPU_Pump3_HSC_P48V_Iout_Curr_A
40981,1,,,,,FLOAT,,,0,,0.1,,RPU_BB_HSC_P48V_Pin_Pwr_W
40982,1,,,,,FLOAT,,,0,,0.1,,RPU_BPB_HSC_P48V_Pin_Pwr_W
40983,1,,,,,FLOAT,,,0,,0.1,,RPU_Pump1_HSC_P48V_Pin_Pwr_W
40984,1,,,,,FLOAT,,,0,,0.1,,RPU_Pump2_HSC_P48V_Pin_Pwr_W
40985,1,,,,,FLOAT,,,0,,0.1,,RPU_Pump3_HSC_P48V_Pin_Pwr_W
40986,1,,,,,INTEGER,,,,,,,RPU_Pump1_Fan_1_Tach_RPM
40987,1,,,,,INTEGER,,,,,,,RPU_Pump1_Fan_2_Tach_RPM
40988,1,,,,,INTEGER,,,,,,,RPU_Pump2_Fan_1_Tach_RPM
40989,1,,,,,INTEGER,,,,,,,RPU_Pump2_Fan_2_Tach_RPM
40990,1,,,,,INTEGER,,,,,,,RPU_Pump3_Fan_1_Tach_RPM
40991,1,,,,,INTEGER,,,,,,,RPU_Pump3_Fan_2_Tach_RPM
40992,1,,,,,FLOAT,,,0,,0.1,,RPU_BPB_Rack_Pressure_3_P_kPa
40993,1,,,,,FLOAT,,,0,,0.1,,RPU_BPB_Rack_Pressure_4_P_kPa
40994,1,,,,,INTEGER,,,,,,,RPU_BPB_Rack_Level_1
40995,1,,,,,INTEGER,,,,,,,RPU_BPB_Rack_Level_2
40996,1,,,,,INTEGER,,,,,,,RPU_MB_Hum_Pct_RH
40997,1,,,,,INTEGER,,,,,,,RPU_Pdb_Hum_Pct_RH
40998,1,,,,,INTEGER,,,,,,,RPU_Pump1_Hum_Pct_RH
40999,1,,,,,INTEGER,,,,,,,RPU_Pump2_Hum_Pct_RH
41000,1,,,,,INTEGER,,,,,,,RPU_Pump3_Hum_Pct_RH
41001,1,,,,,FLOAT,,,0,,0.01,,RPU_Pdb_48V_Sense_Diff_Pos_Volt_V
41002,1,,,,,FLOAT,,,0,,0.01,,RPU_Pdb_48V_Sense_Diff_Neg_Volt_V
41003,1,,,,,FLOAT,,,0,,0.01,,BPB_CDU_Coolant_Leakage_Volt_V
41004,1,,,,,FLOAT,,,0,,0.01,,BPB_Rack_Coolant_Leakage_Volt_V
41005,1,,,,,INTEGER,,,,,,,AALC_Total_Pwr_Ext_W
41088,1,,,,,FLAGS,,,,,,,RPU_Pump_Fan_Status
,,,,0,RPU_Pump1_Fan_1_Status,,,,,,,,
,,,,1,RPU_Pump1_Fan_2_Status,,,,,,,,
,,,,2,RPU_Pump2_Fan_1_Status,,,,,,,,
,,,,3,RPU_Pump2_Fan_2_Status,,,,,,,,
,,,,4,RPU_Pump3_Fan_1_Status,,,,,,,,
,,,,5,RPU_Pump3_Fan_2_Status,,,,,,,,
41306,1,,,,,FLOAT,,,0,,0.01,,RPU_ADC_12V_Aux_Volt_V
41307,1,,,,,FLOAT,,,0,,0.01,,RPU_ADC_5V_Aux_Volt_V
41308,1,,,,,FLOAT,,,0,,0.01,,RPU_ADC_3V3_Aux_Volt_V
41309,1,,,,,FLOAT,,,0,,0.01,,RPU_ADC_1V2_Aux_Volt_V
41310,1,,,,,FLOAT,,,0,,0.01,,RPU_ADC_5V_USB_Volt_V
41216,1,,,,,INTEGER,,,,,,,HEX_Air_Inlet3_Temp_C
41217,1,,,,,INTEGER,,,,,,,HEX_Air_Inlet4_Temp_C
41218,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet3_Temp_C
41219,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet4_Temp_C
41220,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet5_Temp_C
41221,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet6_Temp_C
41222,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet7_Temp_C
41223,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet8_Temp_C
41224,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet9_Temp_C
41225,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet10_Temp_C
41226,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet11_Temp_C
41227,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet12_Temp_C
41228,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet13_Temp_C
41229,1,,,,,INTEGER,,,,,,,HEX_Air_Outlet14_Temp_C
41230,1,,,,,INTEGER,,,,,,,HEX_Fan1_HSC_Temp_C
41231,1,,,,,INTEGER,,,,,,,HEX_Fan2_HSC_Temp_C
41232,1,,,,,INTEGER,,,,,,,HEX_Fan3_HSC_Temp_C
41233,1,,,,,INTEGER,,,,,,,HEX_Fan4_HSC_Temp_C
41234,1,,,,,INTEGER,,,,,,,HEX_Fan5_HSC_Temp_C
41235,1,,,,,INTEGER,,,,,,,HEX_Fan6_HSC_Temp_C
41236,1,,,,,INTEGER,,,,,,,HEX_Fan7_HSC_Temp_C
41237,1,,,,,INTEGER,,,,,,,HEX_Fan8_HSC_Temp_C
41238,1,,,,,INTEGER,,,,,,,HEX_Fan9_HSC_Temp_C
41239,1,,,,,INTEGER,,,,,,,HEX_Fan10_HSC_Temp_C
41240,1,,,,,INTEGER,,,,,,,HEX_Fan11_HSC_Temp_C
41241,1,,,,,INTEGER,,,,,,,HEX_Fan12_HSC_Temp_C
41242,1,,,,,INTEGER,,,,,,,HEX_Fan13_HSC_Temp_C
41243,1,,,,,INTEGER,,,,,,,HEX_Fan14_HSC_Temp_C
41244,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan1_HSC_P48V_VIN_Volt_V
41245,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan2_HSC_P48V_VIN_Volt_V
41246,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan3_HSC_P48V_VIN_Volt_V
41247,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan4_HSC_P48V_VIN_Volt_V
41248,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan5_HSC_P48V_VIN_Volt_V
41249,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan6_HSC_P48V_VIN_Volt_V
41250,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan7_HSC_P48V_VIN_Volt_V
41251,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan8_HSC_P48V_VIN_Volt_V
41252,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan9_HSC_P48V_VIN_Volt_V
41253,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan10_HSC_P48V_VIN_Volt_V
41254,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan11_HSC_P48V_VIN_Volt_V
41255,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan12_HSC_P48V_VIN_Volt_V
41256,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan13_HSC_P48V_VIN_Volt_V
41257,1,,,,,FLOAT,,,0,,0.01,,HEX_Fan14_HSC_P48V_VIN_Volt_V
41258,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan1_HSC_P48V_IOUT_Curr_A
41259,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan2_HSC_P48V_IOUT_Curr_A
41260,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan3_HSC_P48V_IOUT_Curr_A
41261,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan4_HSC_P48V_IOUT_Curr_A
41262,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan5_HSC_P48V_IOUT_Curr_A
41263,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan6_HSC_P48V_IOUT_Curr_A
41264,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan7_HSC_P48V_IOUT_Curr_A
41265,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan8_HSC_P48V_IOUT_Curr_A
41266,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan9_HSC_P48V_IOUT_Curr_A
41267,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan10_HSC_P48V_IOUT_Curr_A
41268,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan11_HSC_P48V_IOUT_Curr_A
41269,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan12_HSC_P48V_IOUT_Curr_A
41270,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan13_HSC_P48V_IOUT_Curr_A
41271,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan14_HSC_P48V_IOUT_Curr_A
41272,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan1_HSC_P48V_Pin_Pwr_W
41273,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan2_HSC_P48V_Pin_Pwr_W
41274,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan3_HSC_P48V_Pin_Pwr_W
41275,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan4_HSC_P48V_Pin_Pwr_W
41276,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan5_HSC_P48V_Pin_Pwr_W
41277,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan6_HSC_P48V_Pin_Pwr_W
41278,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan7_HSC_P48V_Pin_Pwr_W
41279,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan8_HSC_P48V_Pin_Pwr_W
41280,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan9_HSC_P48V_Pin_Pwr_W
41281,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan10_HSC_P48V_Pin_Pwr_W
41282,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan11_HSC_P48V_Pin_Pwr_W
41283,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan12_HSC_P48V_Pin_Pwr_W
41284,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan13_HSC_P48V_Pin_Pwr_W
41285,1,,,,,FLOAT,,,0,,0.1,,HEX_Fan14_HSC_P48V_Pin_Pwr_W
41286,1,,,,,INTEGER,,,,,,,HEX_Fan11_TACH_RPM
41287,1,,,,,INTEGER,,,,,,,HEX_Fan12_TACH_RPM
41288,1,,,,,INTEGER,,,,,,,HEX_Fan13_TACH_RPM
41289,1,,,,,INTEGER,,,,,,,HEX_Fan14_TACH_RPM
41290,1,,,,,FLOAT,,,0,,0.1,,HEX_SB_HEX_Pressure_1_P_kPa
41291,1,,,,,FLOAT,,,0,,0.1,,HEX_SB_HEX_Pressure_2_P_kPa
41292,1,,,,,INTEGER,,,,,,,HEX_Fan1_Hum_Pct_RH
41293,1,,,,,INTEGER,,,,,,,HEX_Fan2_Hum_Pct_RH
41294,1,,,,,INTEGER,,,,,,,HEX_Fan3_Hum_Pct_RH
41295,1,,,,,INTEGER,,,,,,,HEX_Fan4_Hum_Pct_RH
41296,1,,,,,INTEGER,,,,,,,HEX_Fan5_Hum_Pct_RH
41297,1,,,,,INTEGER,,,,,,,HEX_Fan6_Hum_Pct_RH
41298,1,,,,,INTEGER,,,,,,,HEX_Fan7_Hum_Pct_RH
41299,1,,,,,INTEGER,,,,,,,HEX_Fan8_Hum_Pct_RH
41300,1,,,,,INTEGER,,,,,,,HEX_Fan9_Hum_Pct_RH
41301,1,,,,,INTEGER,,,,,,,HEX_Fan10_Hum_Pct_RH
41302,1,,,,,INTEGER,,,,,,,HEX_Fan11_Hum_Pct_RH
41303,1,,,,,INTEGER,,,,,,,HEX_Fan12_Hum_Pct_RH
41304,1,,,,,INTEGER,,,,,,,HEX_Fan13_Hum_Pct_RH
41305,1,,,,,INTEGER,,,,,,,HEX_Fan14_Hum_Pct_RH
41474,1,,,,,FLAGS,,,,,,,AALC_Sensor_Alarm
,,,,0,HEX_Air_Outlet3_Thermometer_Status,,,,,,,,
,,,,1,HEX_Air_Outlet4_Thermometer_Status,,,,,,,,
