begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name
,,,,7,Second_Shelf_Detection,,,,,,,,
,,,,4,Fan_Fault,,,,,,,,
,,,,3,Charger_Converter_Fault,,,,,,,,
,,,,2,Buck_Converter_Fault,,,,,,,,
,,,,1,Power_Boost_Converter_Fault,,,,,,,,
,,,,0,Temperature_Fault,,,,,,,,
154,1,,,,,FLAGS,,,,,,,BBU_Status_Power_Boost
,,,,4,Power_Boost_UVP,,,,,,,,
,,,,3,Power_Boost_SCP2,,,,,,,,
,,,,2,Power_Boost_OVP,,,,,,,,
,,,,1,Power_Boost_OCP,,,,,,,,
,,,,0,Power_Boost_SCP1,,,,,,,,
155,1,,,,,FLAGS,,,,,,,BBU_Status_Buck_Converter
,,,,3,Buck_Output_OVP,,,,,,,,
156,1,,,,,FLAGS,,,,,,,BBU_Status_Charger
,,,,4,Charger_Timeout,,,,,,,,
,,,,3,Charger_Output_OCP,,,,,,,,
,,,,2,Charger_Output_OVP,,,,,,,,
,,,,1,Charger_Input_UVP,,,,,,,,
,,,,0,Charger_Input_OVP,,,,,,,,
157,1,,,,,FLAGS,,,,,,,BBU_Status_Temperature
,,,,5,Battery_Pack_OTP,,,,,,,,
,,,,4,Power_Boost_OTP,,,,,,,,
,,,,3,Buck_Converter_OTP,,,,,,,,
,,,,2,Charger_OTP,,,,,,,,
,,,,1,Output_Ambient_OTP,,,,,,,,
,,,,0,Input_Ambient_OTP,,,,,,,,
158,1,,,,,FLAGS,,,,,,,End_of_Life_Status
,,,,0,BBU_EOL,,,,,,,,
159,1,,,,,INTEGER,,,,,,,BBU_Discharger_Output_Voltage_Inside_Oring
160,1,,,,,INTEGER,,,,,,,Variable_Charge_Calculated_Current
161,1,,,,,FLOAT,,,0,,2,,BBU_Total_Service_Time
162,1,,,,,FLAGS,,,,,,,SOH_Failure_Reason
,,,,7,Others,,,,,,,,
,,,,8,BBU_Backup,,,,,,,,
,,,,9,CAN_Failure,,,,,,,,
,,,,10,BBU_Voltage_3900mV_Per_Cell,,,,,,,,
,,,,11,BBU_In_Bootloader_Mode,,,,,,,,
,,,,12,BBU_EOL,,,,,,,,
,,,,13,BBU_Not_Installed,,,,,,,,
,,,,14,BBU_Failure,,,,,,,,
