begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
8766,1,,,,,FLOAT,,,0,,10,,Power_Module_5_Output_Power1,
8767,1,,,,,INTEGER,,,,,,,Power_Module_5_Output_Load1,
8768,1,,,,,FLOAT,,,0,,0.1,,Power_Module_5_Output_Power_KVA,
8769,1,,,,,FLAGS,,,,,,,Power_Module_5_General_Status,
,,,,0,Module_Present,,,,,,,,,
,,,,1,Module_Off,,,,,,,,,
,,,,2,Module_Repair,,,,,,,,,
,,,,3,Module_fault_Shutdown,,,,,,,,,
8770,1,,,,,FLOAT,,,0,,0.1,,Power_Module_5_Charger_Voltage,
8774,1,,,,,INTEGER,,,,TRUE,,,Power_Module_5_Temperature_PFC,
8775,1,,,,,INTEGER,,,,TRUE,,,Power_Module_5_Temperature_DCDC,
8776,1,,,,,INTEGER,,,,TRUE,,,Power_Module_5_Temperature_Inverter,
8777,1,,,,,INTEGER,,,,TRUE,,,Power_Module_5_AMB_Temperature,
8778,1,,,,,INTEGER,,,,,,,Power_Module_5_FAN_Speed,
8784,10,,,,,STRING,,,,,,,Power_Module_5_Model_Number,
8878,1,,,,,INTEGER,,,,,,,Power_Module_6_Seconds_on_Battery,
8879,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Battery_Voltage,
8880,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Battery_Current,
8882,1,,,,,INTEGER,,,,,,,Power_Module_6_Input_Number_Lines,
8883,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Input_Frequency1,
8884,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Input_Voltage1,
8885,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Input_Current1,
8886,1,,,,,FLOAT,,,0,,10,,Power_Module_6_Input_Power1,
8887,1,,,,,INTEGER,,,,,,,Power_Module_6_Total_Output_Power_Factor,
8888,1,,,,,INTEGER,,,,,,,Power_Module_6_Output_Source,
8889,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Output_Frequency,
8890,1,,,,,INTEGER,,,,,,,Power_Module_6_Output_Number_Lines,
8891,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Output_Voltage1,
8892,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Capacitor_Voltage,
8893,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Output_Current1,
8894,1,,,,,FLOAT,,,0,,10,,Power_Module_6_Output_Power1,
8895,1,,,,,INTEGER,,,,,,,Power_Module_6_Output_Load1,
8896,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Output_Power_KVA,
8897,1,,,,,FLAGS,,,,,,,Power_Module_6_General_Status,
,,,,0,Module_Present,,,,,,,,,
,,,,1,Module_Off,,,,,,,,,
,,,,2,Module_Repair,,,,,,,,,
,,,,3,Module_fault_Shutdown,,,,,,,,,
8898,1,,,,,FLOAT,,,0,,0.1,,Power_Module_6_Charger_Voltage,
8902,1,,,,,INTEGER,,,,TRUE,,,Power_Module_6_Temperature_PFC,
8903,1,,,,,INTEGER,,,,TRUE,,,Power_Module_6_Temperature_DCDC,
