begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,scale,shift,name
180,1,,,,,INTEGER,,,,,,Battery_Pack_Discharge_Failure
181,1,,,,,INTEGER,,,,,,Battery_Pack_Permanent_Failure
182,1,,,,,INTEGER,,,,,,Battery_Pack_FW_Revision
183,1,,,,,INTEGER,,,,,,Specification_Info
184,1,,,,,INTEGER,,,,,,Manufacturer_Date
185,1,,,,,INTEGER,,,,,,Serial_Number
186,2,,,,,STRING,,,,,,Device_Chemistry
188,4,,,,,STRING,,,,,,Manufacturer_Data
192,16,,,,,STRING,,,,,,Manufacturer_Name
208,16,,,,,STRING,,,,,,Device_Name
288,1,,,,,INTEGER,,,,,,Variable_Modbus_Baud_Rate
289,1,,,,,INTEGER,,,,,,Configurable_BBU_Maximum_Discharge_Time
290,1,,,,,INTEGER,,,,,,Configurable_Power_Loss_Siren_Timing
291,1,,,,,INTEGER,,,,,,Variable_Charge_Override_Current
292,1,,,,,FLAGS,,,,,,LED_Override
,,,,0,Fault_LED_Blink,,,,,,,
293,1,,,,,INTEGER,,,,,,Fan_Speed_Override
294,1,,,,,INTEGER,,,,,,PCM_Recharge_Threshold_Override
295,1,,,,,INTEGER,,,,,,Override_Random_Number_Of_SOH_Test
296,1,,,,,INTEGER,,,,,,Override_Interval_Of_SOH_Test
298,2,,,,,INTEGER,,,,,,SOH_Timestamp
300,2,,,,,INTEGER,,,,,,Variable_Charge_Override_Timeout
302,2,,,,,INTEGER,,,,,,Wall_Clock_Time
304,1,,,,,INTEGER,,,,,,EOL_Threshold_Override
305,1,,,,,INTEGER,,,,,,Forced_Discharge_Time
306,1,,,,,INTEGER,,,,,,System_Control_Mode
307,1,,,,,INTEGER,,,,,,BBU_Shelf_Configuration
308,1,,,,,INTEGER,,,,,,Forced_Detached_Mode_Timeout
310,1,,,,,INTEGER,,,,,,PSU_Shelf_Output_Power
311,1,,,,,INTEGER,,,,,,PSU_AC_OK
312,1,,,,,INTEGER,,,,,,Charge_Delay_Time
313,1,,,,,FLAGS,,,,,,BBU_Clear_Fault
,,,,0,Clear_BBU_Faults_And_Latch,,,,,,,
