begin,length,keep,changes_only,flags_bit,flags_name,format,endian,interval,precision,sign,scale,shift,name,unit
,,,,14,IEC60730_TOTAL_V_ERROR,,,,,,,,,
12381,1,,,,,INTEGER,,,,,,,BBU_Module_2_State_Machine,
12382,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Maximum_Voltage,
12383,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Minimum_Voltage,
12384,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Cell_Maximum_Temperature,
12385,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Cell_Minimum_Temperature,
12386,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_1,
12387,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_2,
12388,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_3,
12389,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_4,
12390,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_5,
12391,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_6,
12392,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_7,
12393,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_8,
12394,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_9,
12395,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_10,
12396,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_11,
12397,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_12,
12398,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_13,
12399,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_2_Cell_Voltage_14,
12400,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Cell_Temperature_1,
12401,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Cell_Temperature_2,
12402,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Cell_Temperature_3,
12403,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_Cell_Temperature_4,
12404,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_DMOSFET_Temperature,
12405,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_2_CMOSFET_Temperature,
12406,1,,,,,INTEGER,,,,,,,BBU_Module_2_SOH_test_phase,
12407,1,,,,,INTEGER,,,,,,,BBU_Module_2_SOH_test_result,
12408,1,,,,,INTEGER,,,,,,,BBU_Module_2_SOH,
12409,2,,,,,INTEGER,,,,,,,BBU_Module_2_SOH_Test_Unix_Time,
12411,2,,,,,INTEGER,,,,,,,BBU_Module_2_SOH_BMS_Unix_Time,
12420,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Maximum_Charging_Voltage,
12421,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_3_Maximum_Charging_Current,
12422,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Maximum_Charging_Temperature,
12423,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Minimum_Charging_Temperature,
12424,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Discharging_Cutoff_Voltage,
12425,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_3_Maximum_Discharging_Current,
12426,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Maximum_Discharging_Temperature,
12427,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Minimum_Discharging_Temperature,
12428,1,,,,,INTEGER,,,,,,,BBU_Module_3_Firmware_CRC,
12429,1,,,,,INTEGER,,,,,,,BBU_Module_3_BMS_Data_Version,
12430,1,,,,,INTEGER,,,,,,,BBU_Module_3_BMS_Data_CRC,
12432,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_DC_Bus_Voltage,
12433,1,,,,,FLOAT,,,0,,0.001,,BBU_Module_3_Battery_Pack_Voltage,
12434,1,,,,,FLOAT,,,0,,0.01,,BBU_Module_3_Current,
12435,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Battery_Pack_Temperature,
12436,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Remaining_Capacity,
12437,1,,,,,FLOAT,,,0,,0.1,,BBU_Module_3_Full_Charge_Capacity,
12438,1,,,,,INTEGER,,,,,,,BBU_Module_3_SOC,
