W4,VPIR5,SCU90[5:4]=10 & SCU88[15]=1 & SCU94[1:0]=0,GPIOO7/TACH7,,,,
V4,VPIR6,SCU90[5:4]=10 & SCU88[16]=1 & SCU94[1:0]=0,GPIOP0/TACH8,,,,
W5,VPIR7,SCU90[5:4]=10 & SCU88[17]=1 & SCU94[1:0]=0,GPIOP1/TACH9,,,,
AA5,VPIR8,SCU90[5:4]=10 & SCU88[18]=1 & SCU94[1:0]=0,GPIOP2/TACH10,,,,
AB5,VPIR9,SCU90[5:4]=10 & SCU88[19]=1 & SCU94[1:0]=0,GPIOP3/TACH11,,,,
Y6,-,SCU90[28]=1 & SCU88[20]=1,GPIOP6/TACH12,,,,
Y5,-,SCU90[28]=1 & SCU88[21]=1,GPIOP6/TACH13,,,,
W6,-,SCU90[28]=1 & SCU88[22]=1,GPIOP6/TACH14,,,,
V6,-,SCU90[28]=1 & SCU88[23]=1,GPIOP7/TACH15,,,,
A11,SCL3,SCU90[16]=1,GPIOQ0,,,,
A10,SDA3,SCU90[16]=1,GPIOQ1,,,,
A9,SCL4,SCU90[17]=1,GPIOQ2,,,,
B9,SDA4,SCU90[17]=1,GPIOQ3,,,,
N21,SCL14,SCU90[27]=1,GPIOQ4,,,,
N22,SDA14,SCU90[27]=1,GPIOQ5,,,,
B10,OSCCLK,SCU2C[1]=1,GPIOQ6,,,,
N20,PEWAKE#,SCU2C[29]=1,GPIOQ7,,,,
,,,,,,,
AA19,FWSPICS1#,SCU88[24]=1 & SCU94[1:0]=0,GPIOR0,,,,
T19,FWSPICS2#,SCU88[25]=1 & SCU94[1:0]=0,GPIOR1,,,,
T17,SPI2CS0#,SCU88[26]=1 & SCU94[1:0]=0,GPIOR2,,,,
Y19,SPI2CK,SCU88[27]=1 & SCU94[1:0]=0,GPIOR3,,,,
W19,SPI2MOSI,SCU88[28]=1 & SCU94[1:0]=0,GPIOR4,,,,
V19,SPI2MISO,SCU88[29]=1 & SCU94[1:0]=0,GPIOR5,,,,
D8,MDC1,SCU88[30]=1,GPIOR6,,,,
E10,MDIO1,SCU88[31]=1,GPIOR7,,,,
V20,VPOB2,SCU8C[0]=1 & SCU94[1:0]!=0 & GFX064[7]=1,SPI2CS1#,SCU8C[0]=1,GPIOS0,,
